iter	Passed	Remaining
0	1	127
1	11	542
2	12	414
3	14	344
4	15	296
5	18	292
6	20	269
7	21	245
8	23	241
9	25	226
10	30	245
11	31	232
12	43	289
13	44	274
14	45	258
15	46	245
16	57	283
17	59	271
18	60	259
19	76	304
20	77	292
21	89	316
22	90	302
23	96	304
24	97	293
25	99	283
26	112	302
27	113	292
28	114	281
29	117	274
30	134	299
31	135	288
32	137	278
33	168	327
34	169	314
35	181	322
36	182	311
37	184	300
38	189	297
39	193	290
40	194	279
41	208	287
42	209	277
43	222	283
44	223	273
45	225	264
46	226	255
47	244	264
48	248	258
49	249	249
50	250	240
51	251	232
52	253	224
53	267	227
54	268	219
55	299	235
56	312	235
57	313	227
58	315	219
59	329	219
60	377	241
61	379	232
62	380	223
63	388	218
64	389	209
65	391	201
66	428	210
67	430	202
68	432	194
69	444	190
70	446	182
71	450	175
72	460	170
73	463	162
74	465	155
75	470	148
76	473	141
77	474	133
78	475	126
79	482	120
80	486	114
81	495	108
82	498	102
83	499	95
84	505	89
85	506	82
86	509	76
87	516	70
88	517	63
89	518	57
90	526	52
91	528	45
92	529	39
93	532	33
94	535	28
95	536	22
96	538	16
97	539	11
98	540	5
99	548	0
